Date,Revenue,Orders,Marketing_Spend
2024-02-28,18302.56,335,1752.52
2024-02-29,17033.46,212,1167.0
2024-03-01,12731.71,339,2554.29
2024-03-02,11146.92,274,2116.81
2024-03-03,11038.84,299,1848.44
2024-03-04,13739.06,207,2812.71
2024-03-05,18328.02,329,1222.39
2024-03-06,19537.89,319,1985.25
2024-03-07,16403.5,420,1022.71
2024-03-08,14379.0,203,1937.32
2024-03-09,11952.33,250,1112.61
2024-03-10,11766.78,413,1237.64
2024-03-11,15453.75,202,1235.05
2024-03-12,19293.83,209,2298.42
2024-03-13,18597.88,257,2492.09
2024-03-14,18189.34,154,2166.74
2024-03-15,11430.9,252,2924.35
2024-03-16,12679.42,345,1749.74
2024-03-17,12738.58,411,1571.42
2024-03-18,15172.23,196,2737.2
2024-03-19,18305.03,293,1447.19
2024-03-20,17154.16,418,2926.45
2024-03-21,16896.31,273,1024.31
2024-03-22,14422.92,255,2939.76
2024-03-23,13582.66,307,1086.32
2024-03-24,12506.64,296,2782.29
2024-03-25,15026.55,294,2055.4
2024-03-26,18083.71,269,2985.93
2024-03-27,20079.69,424,1147.59
2024-03-28,17702.74,241,2107.71
2024-03-29,49000.0,207,2938.61
2024-03-30,13027.35,378,2046.2
2024-03-31,13373.31,266,2258.8
2024-04-01,16938.82,428,2391.5
2024-04-02,18216.29,276,1909.08
2024-04-03,19273.78,278,2255.12
2024-04-04,17366.81,207,2168.63
2024-04-05,13410.05,271,2802.32
2024-04-06,13144.76,150,1090.89
2024-04-07,13833.74,388,1561.93
2024-04-08,16384.49,439,2900.82
2024-04-09,18949.86,245,2780.53
2024-04-10,18607.69,275,1911.31
2024-04-11,17653.98,267,2240.27
2024-04-12,14731.62,197,1554.76
2024-04-13,12469.05,238,1376.24
2024-04-14,13766.48,386,1927.4
2024-04-15,17056.38,421,1706.7
2024-04-16,21171.41,338,2167.31
2024-04-17,20351.49,341,1155.47
2024-04-18,18577.2,218,2948.79
2024-04-19,15285.91,427,2972.42
2024-04-20,11777.06,396,2396.32
2024-04-21,14200.62,225,2072.19
2024-04-22,17059.79,303,1619.06
2024-04-23,22003.61,293,2627.59
2024-04-24,20334.09,235,2369.46
2024-04-25,18929.65,334,1325.23
2024-04-26,15634.52,434,2821.85
2024-04-27,12764.99,369,2645.07
2024-04-28,15565.87,218,2899.6
2024-04-29,17995.18,196,2451.44
2024-04-30,20811.47,243,2226.83
2024-05-01,20001.62,387,1836.49
2024-05-02,20233.62,353,2865.46
2024-05-03,14716.95,367,2732.13
2024-05-04,14657.82,188,1090.44
2024-05-05,16821.59,249,1052.73
2024-05-06,16739.8,438,1752.93
2024-05-07,19902.72,403,2621.11
2024-05-08,21222.6,371,2974.55
2024-05-09,18830.83,172,1300.83
2024-05-10,14895.87,399,2188.26
2024-05-11,14504.21,159,1761.78
2024-05-12,14206.96,395,2939.83
2024-05-13,18370.37,249,2684.24
2024-05-14,19897.76,439,2676.66
2024-05-15,22840.71,329,1937.39
2024-05-16,18891.88,372,1829.64
2024-05-17,16314.46,399,1546.81
2024-05-18,15487.52,296,1112.75
2024-05-19,14368.1,245,2729.44
2024-05-20,18461.7,406,2625.8
2024-05-21,22214.51,153,2999.44
2024-05-22,20311.88,165,2993.27
2024-05-23,20075.83,429,2110.86
2024-05-24,17151.06,396,2537.97
2024-05-25,15771.84,407,2889.53
2024-05-26,14675.47,309,2699.29
2024-05-27,17381.42,301,1494.7
2024-05-28,21820.68,327,1901.09
2024-05-29,22338.75,312,1258.32
2024-05-30,20447.95,182,2908.1
2024-05-31,17541.81,328,2212.35
2024-06-01,14769.03,250,1457.29
2024-06-02,16310.61,417,2343.4
2024-06-03,19146.45,214,2236.26
2024-06-04,21020.87,317,1716.33
2024-06-05,24063.51,192,1227.12
2024-06-06,20961.8,193,2343.15
2024-06-07,16470.69,434,2040.62
2024-06-08,16284.8,161,2544.64
2024-06-09,15537.21,244,2040.33
2024-06-10,19903.91,402,2704.36
2024-06-11,23019.37,391,2103.81
2024-06-12,21958.55,184,2121.88
2024-06-13,21715.24,364,2753.31
2024-06-14,18227.21,239,1806.97
2024-06-15,16746.6,413,1268.03
2024-06-16,18434.39,242,1057.57
2024-06-17,19287.53,239,2510.27
2024-06-18,21611.12,264,2240.62
2024-06-19,22209.45,254,2408.16
2024-06-20,20426.82,345,1425.93
2024-06-21,18099.17,263,1272.74
2024-06-22,16626.63,224,1029.09
2024-06-23,17289.15,366,1701.18
2024-06-24,20565.69,426,2179.84
2024-06-25,22614.03,398,1784.49
2024-06-26,24631.04,313,1874.95
2024-06-27,21235.71,341,2808.32
2024-06-28,20929.56,376,1696.51
